location,area_sqft,bedrooms,bathrooms,balconies,floors,parking,property_age,furnishing_status,property_type,distance_from_city_center,nearby_schools,nearby_hospitals,crime_rate,price
Ghaziabad,1885,4,4,2,4,1,9,Semi-Furnished,Apartment,25.3,1,0,1.6,5031000.0
Delhi,2189,4,4,1,10,2,2,Semi-Furnished,Builder Floor,13.6,9,5,9.5,13685000.0
Gurgaon,1579,3,2,1,18,2,2,Unfurnished,Villa,10.5,1,7,8.6,10790000.0
Greater Noida,1548,3,3,1,12,2,19,Furnished,Apartment,7.1,3,0,8.6,5104000.0
Delhi,2382,4,4,0,16,0,27,Semi-Furnished,Builder Floor,19.8,1,3,9.3,9933000.0
Greater Noida,1120,2,1,1,7,2,22,Semi-Furnished,Independent House,8.3,3,6,5.5,4586000.0
Faridabad,1255,2,2,1,6,1,15,Unfurnished,Builder Floor,7.8,2,4,3.2,3873000.0
Gurgaon,1708,3,3,1,5,1,2,Semi-Furnished,Apartment,34.7,8,2,4.6,8877000.0
Gurgaon,1458,3,3,1,3,1,9,Semi-Furnished,Apartment,28.3,6,5,7.5,7018000.0
Delhi,668,1,1,2,12,0,23,Furnished,Apartment,26.4,2,7,8.9,3296000.0
Gurgaon,2645,5,5,2,15,2,10,Unfurnished,Apartment,28.0,7,2,4.9,11889000.0
Ghaziabad,1787,3,3,1,10,0,7,Semi-Furnished,Apartment,33.9,8,3,5.8,5054000.0
Gurgaon,1485,3,2,2,20,1,5,Furnished,Independent House,20.5,6,3,9.4,9230000.0
Greater Noida,2426,5,5,1,19,1,19,Semi-Furnished,Apartment,8.5,5,2,2.0,8575000.0
Greater Noida,1992,3,2,1,16,1,10,Furnished,Apartment,30.3,3,5,8.8,6115000.0
Greater Noida,2383,5,4,2,11,0,27,Furnished,Builder Floor,26.3,4,7,2.4,8936000.0
Greater Noida,1721,3,2,2,8,1,26,Unfurnished,Apartment,15.1,7,6,5.4,4306000.0
Ghaziabad,1317,2,1,2,3,2,20,Semi-Furnished,Independent House,17.1,2,1,3.0,3987000.0
Noida,2365,4,4,1,23,1,11,Unfurnished,Builder Floor,15.0,1,6,6.4,8907000.0
Faridabad,1798,3,3,0,7,1,15,Furnished,Apartment,32.6,2,1,6.0,4756000.0
Delhi,2092,4,4,2,23,1,17,Unfurnished,Independent House,12.7,6,7,4.4,13247000.0
Greater Noida,2492,5,4,1,7,1,12,Furnished,Builder Floor,33.8,7,4,8.8,9344000.0
Gurgaon,2284,4,4,1,14,2,21,Semi-Furnished,Builder Floor,31.9,0,6,6.9,9134000.0
Greater Noida,1846,3,3,2,2,1,2,Unfurnished,Apartment,22.4,6,7,7.5,5506000.0
Gurgaon,2211,4,4,2,10,1,14,Unfurnished,Apartment,20.7,8,2,2.4,10010000.0
Faridabad,1907,3,2,2,19,1,21,Semi-Furnished,Independent House,13.6,2,2,8.9,5337000.0
Faridabad,1643,3,2,1,9,1,27,Semi-Furnished,Apartment,1.6,2,5,2.5,4861000.0
Faridabad,2219,4,4,2,16,0,20,Unfurnished,Apartment,5.3,7,2,3.0,6283000.0
Gurgaon,1153,2,1,0,19,1,13,Semi-Furnished,Apartment,26.6,3,5,2.2,5003000.0
Greater Noida,1823,3,2,0,18,1,17,Unfurnished,Independent House,17.0,7,7,5.0,6481000.0
Faridabad,2072,4,4,2,9,1,27,Unfurnished,Apartment,6.1,4,2,9.0,5215000.0
Ghaziabad,1919,3,2,0,16,1,28,Furnished,Independent House,10.0,2,3,3.3,7692000.0
Gurgaon,1527,3,2,1,13,1,13,Furnished,Builder Floor,33.2,3,0,4.4,8155000.0
Gurgaon,2172,4,4,2,10,1,4,Semi-Furnished,Independent House,13.5,3,7,8.6,12483000.0
Greater Noida,1967,3,2,1,20,1,20,Furnished,Villa,31.9,7,2,6.6,9551000.0
Gurgaon,1958,4,3,1,14,2,13,Furnished,Independent House,11.4,5,0,7.8,11684000.0
Gurgaon,1570,2,1,1,12,1,24,Unfurnished,Independent House,19.5,6,1,2.9,6860000.0
Faridabad,1569,2,1,1,19,0,26,Semi-Furnished,Apartment,1.7,8,4,7.4,4726000.0
Greater Noida,1175,2,1,1,7,0,7,Unfurnished,Builder Floor,18.7,5,6,3.0,3952000.0
Faridabad,1610,3,2,2,23,2,27,Semi-Furnished,Apartment,22.7,2,6,9.9,3547000.0
Faridabad,1846,3,2,2,15,1,27,Semi-Furnished,Apartment,9.0,2,7,6.0,4971000.0
Greater Noida,2385,4,3,1,16,2,22,Furnished,Builder Floor,20.7,2,1,7.3,7970000.0
Delhi,1566,3,3,2,8,0,14,Semi-Furnished,Builder Floor,23.0,9,2,2.1,9123000.0
Faridabad,1859,3,3,1,10,2,27,Furnished,Apartment,24.4,1,6,3.3,4384000.0
Ghaziabad,956,1,1,1,4,2,28,Semi-Furnished,Builder Floor,27.4,0,5,2.3,2477000.0
Ghaziabad,1703,3,3,2,19,1,14,Unfurnished,Independent House,11.6,9,1,4.5,5721000.0
Gurgaon,1632,3,2,1,19,0,29,Semi-Furnished,Builder Floor,20.3,0,3,3.6,6623000.0
Ghaziabad,926,1,1,3,21,1,18,Semi-Furnished,Independent House,34.4,3,0,7.6,2632000.0
Gurgaon,1181,2,2,1,15,1,25,Semi-Furnished,Independent House,31.5,2,5,2.0,5585000.0
Delhi,1333,2,1,2,14,1,19,Furnished,Villa,33.4,4,6,7.8,10507000.0
Greater Noida,628,1,1,1,1,1,5,Semi-Furnished,Builder Floor,14.1,8,5,1.4,2681000.0
Greater Noida,1492,3,2,1,16,0,18,Furnished,Independent House,27.8,7,2,2.8,6496000.0
Greater Noida,1329,2,1,1,10,1,26,Furnished,Villa,22.1,8,3,8.1,6108000.0
Ghaziabad,1583,3,2,2,19,1,24,Furnished,Villa,3.8,4,0,7.7,7945000.0
Delhi,1894,4,4,1,22,1,7,Semi-Furnished,Apartment,29.0,7,3,5.3,10003000.0
Ghaziabad,1752,3,2,3,3,0,5,Unfurnished,Apartment,24.0,3,1,1.4,4951000.0
Ghaziabad,2464,5,5,1,5,2,19,Furnished,Apartment,7.8,4,2,6.5,7583000.0
Delhi,1418,3,3,1,9,1,22,Semi-Furnished,Apartment,3.7,2,5,4.7,8201000.0
Delhi,1898,3,2,1,18,1,28,Semi-Furnished,Builder Floor,29.5,4,5,3.8,9585000.0
Delhi,2338,5,5,2,11,1,14,Furnished,Independent House,3.7,2,1,6.8,17368000.0
Delhi,1572,2,2,2,16,0,26,Unfurnished,Independent House,4.1,4,5,4.9,9440000.0
Greater Noida,2724,5,4,1,2,1,2,Semi-Furnished,Apartment,15.5,4,4,1.8,9331000.0
Noida,854,1,1,2,12,1,9,Semi-Furnished,Independent House,5.6,5,2,9.2,4760000.0
Noida,1484,3,3,1,22,2,14,Semi-Furnished,Builder Floor,32.1,8,1,8.0,5924000.0
Delhi,1057,1,1,2,6,1,23,Furnished,Independent House,17.0,0,2,1.5,6115000.0
Noida,1931,3,2,2,11,1,15,Semi-Furnished,Villa,20.4,9,0,5.7,10291000.0
Noida,1961,3,2,1,8,2,16,Semi-Furnished,Builder Floor,32.6,5,2,1.8,8670000.0
Delhi,1491,3,2,1,12,1,18,Unfurnished,Apartment,19.0,0,2,8.5,5406000.0
Noida,1599,2,2,3,2,2,10,Furnished,Independent House,13.0,5,0,6.5,8099000.0
Ghaziabad,1068,2,1,2,9,2,15,Semi-Furnished,Apartment,28.1,1,1,2.6,2680000.0
Gurgaon,636,1,1,2,15,0,4,Semi-Furnished,Apartment,16.1,7,2,1.2,3395000.0
Gurgaon,1139,2,1,1,2,1,4,Furnished,Independent House,11.8,2,3,1.3,8616000.0
Delhi,2365,4,4,1,1,1,25,Semi-Furnished,Apartment,25.6,9,2,5.6,10226000.0
Greater Noida,1177,2,1,1,10,1,13,Unfurnished,Independent House,28.3,5,1,7.6,4311000.0
Delhi,1936,4,3,2,2,1,17,Unfurnished,Apartment,27.9,5,7,2.1,9469000.0
Greater Noida,1989,4,4,2,12,2,25,Semi-Furnished,Independent House,34.2,3,5,3.0,6491000.0
Gurgaon,1341,2,1,1,23,1,7,Unfurnished,Apartment,27.7,4,6,3.9,6244000.0
Delhi,1958,3,3,1,8,1,4,Unfurnished,Villa,27.2,1,0,3.0,12810000.0
Faridabad,604,1,1,1,5,0,6,Unfurnished,Independent House,30.2,9,5,4.5,2070000.0
Ghaziabad,1256,2,1,1,22,1,15,Furnished,Apartment,1.0,9,1,6.0,4647000.0
Noida,842,1,1,0,1,0,22,Unfurnished,Builder Floor,13.3,7,4,7.2,3222000.0
Greater Noida,1814,3,3,1,15,1,13,Semi-Furnished,Villa,26.1,9,6,9.7,8154000.0
Faridabad,1742,3,3,1,6,1,4,Unfurnished,Apartment,21.4,6,5,9.4,4714000.0
Noida,1778,3,2,1,12,1,23,Semi-Furnished,Apartment,7.0,9,2,6.1,6884000.0
Noida,1993,3,3,1,8,0,8,Furnished,Apartment,11.3,5,6,7.6,9637000.0
Delhi,1145,2,1,1,13,1,3,Unfurnished,Builder Floor,12.5,6,2,9.6,6189000.0
Noida,1722,3,3,0,19,0,3,Semi-Furnished,Independent House,20.3,0,0,1.8,8525000.0
Ghaziabad,1921,4,4,1,1,1,15,Unfurnished,Builder Floor,29.3,4,2,1.1,5759000.0
Faridabad,851,1,1,1,11,1,23,Unfurnished,Apartment,32.7,6,6,1.3,1949000.0
Noida,1310,2,2,1,20,1,16,Semi-Furnished,Apartment,26.5,0,3,6.1,4610000.0
Delhi,1874,3,3,1,1,1,14,Furnished,Builder Floor,29.7,1,3,7.9,9941000.0
Ghaziabad,1569,2,2,2,8,0,3,Semi-Furnished,Apartment,17.0,8,7,4.3,5058000.0
Gurgaon,1891,3,2,3,5,1,5,Furnished,Apartment,14.3,2,5,5.9,10561000.0
Faridabad,1574,2,2,2,17,0,15,Furnished,Villa,14.4,5,1,5.6,6606000.0
Noida,1346,2,1,1,8,1,28,Unfurnished,Builder Floor,21.9,6,7,1.9,5215000.0
Delhi,1486,2,2,2,10,0,3,Furnished,Builder Floor,5.2,8,0,3.9,11550000.0
Gurgaon,1472,2,2,2,2,1,5,Semi-Furnished,Independent House,20.7,4,4,1.2,8899000.0
Gurgaon,1781,3,3,0,9,2,4,Unfurnished,Builder Floor,23.6,3,7,2.0,9554000.0
Greater Noida,1679,3,2,1,24,1,15,Semi-Furnished,Independent House,15.9,1,5,8.3,6107000.0
Ghaziabad,1871,4,3,2,23,1,29,Furnished,Apartment,33.4,2,1,8.5,4293000.0
Noida,2320,4,4,1,3,1,24,Unfurnished,Apartment,21.7,4,0,8.2,6168000.0
Delhi,1765,3,2,0,18,0,15,Furnished,Apartment,8.5,1,6,7.5,10593000.0
Greater Noida,1893,4,4,2,7,2,9,Unfurnished,Apartment,17.3,3,0,8.1,4700000.0
Ghaziabad,1372,2,2,2,15,0,8,Unfurnished,Independent House,24.0,0,6,7.0,4489000.0
Greater Noida,1738,3,2,1,21,2,3,Unfurnished,Apartment,12.0,3,5,7.0,5948000.0
Faridabad,1836,3,2,1,22,1,28,Semi-Furnished,Apartment,3.7,6,1,7.0,5073000.0
Ghaziabad,1335,2,1,1,20,1,13,Semi-Furnished,Apartment,20.8,2,7,5.6,3508000.0
Ghaziabad,1891,3,2,2,18,1,3,Furnished,Apartment,33.2,9,1,4.3,6339000.0
Noida,1039,2,2,1,3,1,11,Unfurnished,Independent House,17.5,7,2,7.6,4293000.0
Ghaziabad,1758,3,2,1,23,1,23,Unfurnished,Apartment,31.8,5,4,3.7,4511000.0
Greater Noida,2373,4,3,2,14,0,9,Semi-Furnished,Builder Floor,29.4,5,3,5.9,9020000.0
Ghaziabad,2053,4,4,1,24,1,3,Furnished,Apartment,6.0,0,2,4.9,7740000.0
Noida,1980,3,2,2,2,1,17,Furnished,Builder Floor,25.1,4,0,3.5,8338000.0
Noida,1797,3,2,1,14,2,12,Furnished,Independent House,15.8,2,4,9.8,8296000.0
Faridabad,1569,3,2,1,22,1,12,Unfurnished,Apartment,9.5,9,4,3.3,4744000.0
Greater Noida,1910,3,2,2,11,0,13,Semi-Furnished,Independent House,24.4,0,1,3.8,6914000.0
Gurgaon,1259,2,2,1,16,1,17,Unfurnished,Apartment,26.3,7,4,2.5,5510000.0
Gurgaon,1983,3,3,1,8,1,0,Unfurnished,Apartment,7.1,6,5,8.4,9959000.0
Ghaziabad,1858,3,2,1,7,1,20,Furnished,Villa,32.1,6,4,6.3,8988000.0
Faridabad,2728,5,4,2,11,1,15,Semi-Furnished,Apartment,26.5,9,0,6.5,6532000.0
Delhi,1740,3,3,3,3,2,14,Semi-Furnished,Apartment,32.7,9,5,8.4,8726000.0
Ghaziabad,1456,3,2,3,17,1,21,Semi-Furnished,Independent House,11.8,9,5,4.1,5595000.0
Faridabad,1617,3,2,1,14,1,24,Unfurnished,Apartment,32.9,3,2,2.7,3604000.0
Greater Noida,1863,3,2,1,6,1,4,Unfurnished,Independent House,13.5,5,4,2.8,7967000.0
Greater Noida,1646,3,2,1,8,1,28,Unfurnished,Apartment,2.8,8,1,7.6,5209000.0
Greater Noida,1372,2,1,2,22,1,5,Furnished,Villa,26.9,2,6,6.5,6921000.0
Greater Noida,1816,3,2,1,5,1,5,Furnished,Independent House,24.9,8,2,2.9,8939000.0
Greater Noida,1830,4,3,3,8,0,2,Unfurnished,Builder Floor,21.3,3,1,2.3,5819000.0
Faridabad,1767,3,2,1,2,2,15,Furnished,Villa,17.7,4,4,2.1,8094000.0
Faridabad,1558,2,1,3,15,1,11,Semi-Furnished,Apartment,2.1,6,2,6.7,4931000.0
Noida,1507,3,3,2,12,1,3,Furnished,Villa,22.2,5,4,1.0,11958000.0
Gurgaon,2383,4,4,2,17,1,0,Semi-Furnished,Apartment,15.2,9,0,1.2,12594000.0
Greater Noida,1017,1,1,1,1,1,3,Furnished,Apartment,20.0,7,2,4.5,3947000.0
Delhi,2197,4,3,0,15,0,0,Semi-Furnished,Apartment,15.6,7,1,7.2,12212000.0
Faridabad,2071,4,3,1,14,1,20,Unfurnished,Builder Floor,33.8,7,0,7.3,5165000.0
Delhi,1515,3,3,1,20,1,26,Furnished,Apartment,21.5,2,3,4.9,6721000.0
Delhi,2785,5,4,0,22,2,26,Furnished,Independent House,26.5,9,1,7.2,16781000.0
Delhi,2055,4,4,1,16,2,7,Semi-Furnished,Independent House,32.8,5,6,5.7,13819000.0
Noida,1880,4,3,1,9,1,23,Unfurnished,Villa,21.1,6,7,9.8,8146000.0
Faridabad,1527,3,3,2,1,2,4,Furnished,Apartment,1.4,8,4,2.5,6359000.0
Delhi,1234,2,2,2,17,1,29,Semi-Furnished,Builder Floor,2.2,9,1,6.4,7203000.0
Greater Noida,1552,2,2,1,13,0,25,Furnished,Apartment,24.9,9,3,5.4,4476000.0
Ghaziabad,1580,3,2,3,21,2,1,Unfurnished,Apartment,10.5,3,1,2.8,4828000.0
Delhi,1156,2,2,1,21,1,11,Semi-Furnished,Apartment,20.7,4,0,7.7,4952000.0
Noida,1853,3,2,1,5,1,21,Unfurnished,Apartment,7.9,7,5,3.5,7349000.0
Faridabad,2370,4,3,1,10,1,16,Unfurnished,Independent House,10.2,0,7,4.4,7125000.0
Noida,1823,4,3,2,6,1,6,Furnished,Builder Floor,18.2,5,1,4.4,8424000.0
Delhi,1872,3,2,0,24,2,10,Unfurnished,Apartment,34.2,3,2,3.2,9249000.0
Faridabad,2199,4,3,1,19,0,3,Furnished,Apartment,22.0,4,6,4.9,7080000.0
Ghaziabad,2391,4,3,2,13,1,4,Unfurnished,Apartment,32.8,4,3,5.3,6360000.0
Delhi,1533,3,2,1,1,1,5,Semi-Furnished,Apartment,33.6,1,1,7.7,7282000.0
Noida,1420,2,2,2,20,1,10,Unfurnished,Villa,8.1,7,3,7.9,8461000.0
Gurgaon,1612,3,3,3,15,1,0,Furnished,Apartment,11.6,1,5,2.4,9069000.0
Greater Noida,1881,3,3,3,14,0,24,Furnished,Apartment,27.2,3,0,6.3,4950000.0
Noida,1747,3,2,0,8,0,9,Semi-Furnished,Apartment,30.5,4,2,9.1,6697000.0
Faridabad,1565,3,2,1,10,1,19,Semi-Furnished,Independent House,18.7,0,4,2.0,4896000.0
Delhi,947,1,1,1,9,2,23,Furnished,Villa,34.8,5,1,5.3,7559000.0
Greater Noida,1797,3,2,1,17,0,20,Semi-Furnished,Independent House,1.4,1,0,7.8,7945000.0
Delhi,2382,4,4,1,9,1,10,Furnished,Builder Floor,11.2,4,7,6.5,17381000.0
Faridabad,1834,3,2,1,3,1,23,Semi-Furnished,Builder Floor,22.2,5,3,1.9,5286000.0
Delhi,2776,5,5,3,11,2,16,Unfurnished,Apartment,17.0,7,5,4.6,13197000.0
Gurgaon,2020,4,3,3,12,2,7,Semi-Furnished,Villa,5.0,8,6,5.6,18140000.0
Greater Noida,2107,4,4,0,10,1,26,Furnished,Independent House,13.5,5,3,10.0,7642000.0
Greater Noida,2665,5,4,1,17,1,12,Semi-Furnished,Builder Floor,1.9,4,6,2.6,12481000.0
Faridabad,1898,4,4,1,17,1,26,Furnished,Independent House,22.9,3,5,9.8,5829000.0
Gurgaon,1641,3,2,1,11,1,19,Unfurnished,Independent House,31.4,1,6,4.4,8310000.0
Noida,757,1,1,2,22,1,17,Furnished,Builder Floor,31.1,1,5,2.8,3218000.0
Delhi,1953,3,2,2,4,1,26,Unfurnished,Villa,24.8,6,0,4.7,12434000.0
Ghaziabad,1626,3,3,2,7,2,21,Unfurnished,Villa,16.8,4,1,6.5,5791000.0
Delhi,1422,2,2,2,21,0,15,Unfurnished,Builder Floor,18.4,6,4,2.9,7051000.0
Delhi,1071,2,1,1,14,2,1,Semi-Furnished,Builder Floor,5.7,0,1,3.6,7280000.0
Noida,2442,5,5,2,7,1,4,Unfurnished,Apartment,12.6,0,7,8.7,8792000.0
Delhi,2329,4,3,1,24,1,17,Unfurnished,Builder Floor,7.4,4,7,10.0,12675000.0
Gurgaon,2388,4,3,2,8,1,2,Semi-Furnished,Apartment,28.9,1,2,3.9,11079000.0
Gurgaon,1444,3,2,1,1,1,26,Semi-Furnished,Builder Floor,32.1,7,1,2.3,6133000.0
Greater Noida,1071,1,1,1,24,1,21,Semi-Furnished,Villa,19.3,2,5,8.1,4428000.0
Faridabad,970,1,1,1,22,2,16,Semi-Furnished,Builder Floor,25.7,0,5,6.4,2550000.0
Ghaziabad,1091,2,1,1,4,2,15,Semi-Furnished,Apartment,5.1,1,2,1.9,3533000.0
Delhi,621,1,1,3,12,2,5,Semi-Furnished,Apartment,21.7,9,3,9.5,3142000.0
Delhi,771,1,1,1,24,0,18,Furnished,Apartment,24.9,9,5,1.7,4049000.0
Noida,1991,4,4,1,3,2,6,Furnished,Independent House,16.4,6,2,6.6,10204000.0
Faridabad,1476,3,3,1,13,1,17,Furnished,Apartment,9.3,5,5,4.8,4779000.0
Gurgaon,1280,2,1,2,20,0,13,Furnished,Apartment,30.8,7,4,6.0,6394000.0
Ghaziabad,1363,2,1,1,6,0,5,Furnished,Apartment,26.3,6,5,2.9,4843000.0
Greater Noida,1578,3,2,3,11,0,7,Semi-Furnished,Independent House,31.6,9,0,7.2,6415000.0
Gurgaon,837,1,1,2,23,0,14,Furnished,Independent House,28.8,7,2,9.6,4597000.0
Faridabad,2334,5,4,2,4,1,14,Unfurnished,Apartment,34.7,2,6,5.1,5045000.0
Greater Noida,1679,3,3,2,20,2,14,Furnished,Apartment,7.5,5,7,5.7,6843000.0
Noida,1418,3,2,0,16,1,15,Furnished,Builder Floor,3.9,6,1,3.2,7905000.0
Noida,1594,2,2,1,7,1,0,Unfurnished,Builder Floor,12.5,9,2,9.0,6968000.0
Delhi,970,1,1,2,22,2,10,Semi-Furnished,Builder Floor,5.4,0,3,9.7,6065000.0
Faridabad,1511,3,2,0,11,1,26,Furnished,Apartment,18.8,0,5,8.1,3711000.0
Ghaziabad,1620,3,3,1,24,2,28,Unfurnished,Builder Floor,22.5,6,2,5.9,3793000.0
Greater Noida,1703,3,2,2,1,1,24,Unfurnished,Apartment,20.7,2,4,9.6,4306000.0
Gurgaon,1324,2,2,1,7,1,4,Semi-Furnished,Independent House,9.8,2,2,2.4,8350000.0
Faridabad,1836,3,2,3,12,1,4,Semi-Furnished,Builder Floor,31.9,4,4,5.3,5896000.0
Faridabad,1837,3,2,1,7,1,28,Unfurnished,Apartment,1.7,5,7,5.8,5428000.0
Noida,1969,4,4,2,23,0,27,Semi-Furnished,Apartment,12.8,1,7,5.4,6863000.0
Delhi,1374,2,1,1,7,1,20,Semi-Furnished,Builder Floor,25.4,2,5,8.2,6296000.0
Delhi,1556,2,2,2,10,1,5,Unfurnished,Independent House,27.1,5,1,7.0,8917000.0
Greater Noida,1780,3,2,1,16,2,1,Furnished,Builder Floor,15.1,2,5,2.1,7810000.0
Noida,1413,3,2,1,8,1,5,Semi-Furnished,Builder Floor,1.6,4,3,4.1,7712000.0
Faridabad,1899,3,2,2,9,0,13,Furnished,Independent House,22.0,8,0,4.1,6284000.0
Ghaziabad,1790,3,3,1,9,1,10,Unfurnished,Builder Floor,3.1,2,1,6.1,6144000.0
Noida,1948,3,3,1,2,0,3,Semi-Furnished,Apartment,4.7,5,1,3.6,9732000.0
Greater Noida,2364,4,3,1,13,1,23,Semi-Furnished,Independent House,23.1,4,7,2.1,8937000.0
Greater Noida,1929,3,3,2,13,2,28,Furnished,Apartment,11.6,4,0,6.9,5718000.0
Noida,2691,5,4,1,23,1,26,Furnished,Apartment,12.8,5,2,8.7,10721000.0
Greater Noida,1949,3,3,3,23,0,24,Semi-Furnished,Villa,17.6,5,5,9.4,7718000.0
Noida,2584,5,5,1,4,1,8,Unfurnished,Apartment,34.3,0,2,9.8,8409000.0
Gurgaon,1995,4,3,1,24,1,23,Semi-Furnished,Apartment,33.8,8,2,8.0,7770000.0
Noida,1299,2,1,2,12,2,2,Furnished,Apartment,15.2,4,5,2.3,6378000.0
Noida,2346,4,3,2,17,0,25,Unfurnished,Villa,10.0,0,3,8.7,11813000.0
Greater Noida,1307,2,1,2,2,1,15,Furnished,Apartment,11.3,7,1,4.6,4682000.0
Greater Noida,2051,4,3,3,13,1,10,Unfurnished,Apartment,10.1,6,4,7.6,6441000.0
Delhi,1407,3,3,1,18,0,26,Furnished,Apartment,19.1,6,0,5.8,6578000.0
Delhi,807,1,1,1,15,1,3,Semi-Furnished,Apartment,21.6,4,1,8.5,3855000.0
Gurgaon,1530,3,2,0,8,1,0,Furnished,Apartment,17.6,0,2,4.8,7787000.0
Delhi,2225,5,4,2,15,2,24,Unfurnished,Apartment,14.9,8,0,1.6,9292000.0
Noida,1053,1,1,2,1,2,20,Semi-Furnished,Builder Floor,8.2,8,4,6.0,5066000.0
Greater Noida,1585,3,3,1,20,1,21,Furnished,Apartment,17.4,7,1,2.5,5230000.0
Delhi,1883,3,2,1,10,1,15,Semi-Furnished,Apartment,12.6,4,1,9.7,8278000.0
Delhi,1850,4,3,0,12,1,18,Furnished,Apartment,19.4,2,3,5.7,9687000.0
Gurgaon,1404,3,3,2,5,2,15,Furnished,Apartment,24.0,7,1,6.0,6501000.0
Faridabad,1588,2,2,1,9,2,10,Unfurnished,Builder Floor,22.5,0,1,9.2,3594000.0
